"id";"recipeid";"productid";"amount";"creationdate";"creationuser";"updatedate";"updateuser"
1;76;62;"1,00";19/03/2013 13:08:06;"INGE";19/03/2013 13:08:40;"INGE"
2;76;61;"2,00";19/03/2013 13:08:27;"INGE";19/03/2013 13:08:40;"INGE"
7;79;68;"144,00";19/03/2013 18:36:39;"INGE";26/03/2013 10:00:14;"INGE"
8;79;80;"46,00";19/03/2013 18:36:50;"INGE";26/03/2013 10:00:14;"INGE"
10;79;78;"100,00";19/03/2013 18:37:23;"INGE";26/03/2013 10:00:14;"INGE"
11;79;81;"70,00";19/03/2013 18:38:21;"INGE";26/03/2013 10:00:14;"INGE"
12;79;77;"10,00";19/03/2013 18:38:41;"INGE";26/03/2013 10:00:14;"INGE"
13;91;92;"0,50";20/03/2013 20:22:46;"INGE";26/03/2013 09:59:47;"INGE"
14;91;93;"0,50";20/03/2013 20:23:04;"INGE";26/03/2013 09:59:47;"INGE"
15;91;50;"0,50";20/03/2013 20:23:26;"INGE";26/03/2013 09:59:47;"INGE"
16;91;94;"150,00";20/03/2013 20:23:44;"INGE";26/03/2013 09:59:47;"INGE"
18;91;75;"40,00";20/03/2013 20:24:39;"INGE";26/03/2013 09:59:47;"INGE"
19;91;95;"10,00";20/03/2013 20:26:08;"INGE";26/03/2013 09:59:47;"INGE"
20;91;96;"15,00";20/03/2013 20:26:22;"INGE";26/03/2013 09:59:47;"INGE"
21;91;96;"15,00";20/03/2013 20:31:25;"INGE";26/03/2013 09:59:47;"INGE"
23;105;107;"1,00";22/03/2013 12:03:01;"INGE";22/03/2013 12:06:58;"INGE"
24;105;109;"0,50";22/03/2013 12:04:56;"INGE";22/03/2013 12:06:58;"INGE"
25;105;108;"1,00";22/03/2013 12:05:14;"INGE";22/03/2013 12:06:58;"INGE"
26;105;106;"60,00";22/03/2013 12:05:36;"INGE";22/03/2013 12:06:58;"INGE"
27;110;28;"1550,00";22/03/2013 17:01:12;"INGE";25/03/2013 18:35:47;"INGE"
28;110;27;"200,00";22/03/2013 17:01:55;"INGE";25/03/2013 18:35:47;"INGE"
29;110;111;"70,00";22/03/2013 17:06:09;"INGE";25/03/2013 18:35:47;"INGE"
30;110;77;"1,50";22/03/2013 17:06:58;"INGE";25/03/2013 18:35:47;"INGE"
31;110;112;"3,00";22/03/2013 17:09:21;"INGE";25/03/2013 18:35:47;"INGE"
32;110;113;"1,00";22/03/2013 17:10:52;"INGE";25/03/2013 18:35:47;"INGE"
33;110;115;"70,00";22/03/2013 17:17:39;"INGE";25/03/2013 18:35:47;"INGE"
34;110;114;"800,00";22/03/2013 17:18:01;"INGE";25/03/2013 18:35:47;"INGE"
35;121;92;"0,50";24/03/2013 16:35:59;"HANS";24/03/2013 20:23:58;"INGE"
36;121;85;"1,00";24/03/2013 16:36:11;"HANS";24/03/2013 20:23:58;"INGE"
37;121;122;"1,00";24/03/2013 16:37:04;"HANS";24/03/2013 20:23:58;"INGE"
38;121;66;"120,00";24/03/2013 16:37:56;"HANS";24/03/2013 20:23:58;"INGE"
39;121;74;"2,00";24/03/2013 16:38:48;"HANS";24/03/2013 20:23:58;"INGE"
40;125;124;"12,00";25/03/2013 13:14:55;"HANS";25/03/2013 20:53:13;"INGE"
41;125;22;"12,00";25/03/2013 13:15:02;"HANS";25/03/2013 20:53:13;"INGE"
43;125;126;"85,00";25/03/2013 18:25:58;"INGE";25/03/2013 20:53:13;"INGE"
44;125;128;"70,00";25/03/2013 18:26:11;"INGE";25/03/2013 20:53:13;"INGE"
45;125;112;"1,00";25/03/2013 18:27:00;"INGE";25/03/2013 20:53:13;"INGE"
46;125;129;"250,00";25/03/2013 18:28:07;"INGE";25/03/2013 20:53:13;"INGE"
47;125;62;"1,00";25/03/2013 18:28:36;"INGE";25/03/2013 20:53:13;"INGE"
48;125;127;"150,00";25/03/2013 18:29:05;"INGE";25/03/2013 20:53:13;"INGE"
49;130;126;"85,00";25/03/2013 18:31:31;"INGE";03/04/2013 17:54:18;"INGE"
50;130;128;"70,00";25/03/2013 18:31:42;"INGE";03/04/2013 17:54:18;"INGE"
51;130;62;"1,00";25/03/2013 18:32:08;"INGE";03/04/2013 17:54:18;"INGE"
52;130;127;"150,00";25/03/2013 18:32:41;"INGE";03/04/2013 17:54:18;"INGE"
54;130;129;"250,00";25/03/2013 18:33:30;"INGE";03/04/2013 17:54:18;"INGE"
55;130;131;"2,00";25/03/2013 18:35:03;"INGE";03/04/2013 17:54:18;"INGE"
56;134;136;"1000,00";26/03/2013 09:57:04;"INGE";26/03/2013 23:16:55;"HANS"
57;134;94;"300,00";26/03/2013 09:57:20;"INGE";26/03/2013 23:16:55;"HANS"
58;134;133;"400,00";26/03/2013 09:57:33;"INGE";26/03/2013 23:16:55;"HANS"
59;134;113;"2,00";26/03/2013 09:57:47;"INGE";26/03/2013 23:16:55;"HANS"
60;134;132;"500,00";26/03/2013 09:58:18;"INGE";26/03/2013 23:16:55;"HANS"
61;134;131;"2,00";26/03/2013 09:58:55;"INGE";26/03/2013 23:16:55;"HANS"
62;134;127;"75,00";26/03/2013 09:59:11;"INGE";26/03/2013 23:16:55;"HANS"
63;143;144;"1000,00";28/03/2013 18:08:09;"INGE";01/04/2013 15:40:19;"HANS"
64;143;129;"2000,00";28/03/2013 18:08:31;"INGE";01/04/2013 15:40:19;"HANS"
65;143;112;"2,00";28/03/2013 18:08:47;"INGE";01/04/2013 15:40:19;"HANS"
66;143;63;"125,00";28/03/2013 18:09:03;"INGE";01/04/2013 15:40:19;"HANS"
67;143;131;"4,00";28/03/2013 18:09:26;"INGE";01/04/2013 15:40:19;"HANS"
68;147;70;"50,00";30/03/2013 09:57:18;"HANS";30/03/2013 10:01:51;"HANS"
69;147;148;"1,00";30/03/2013 10:01:22;"HANS";30/03/2013 10:01:51;"HANS"
70;147;81;"100,00";30/03/2013 10:01:51;"HANS";30/03/2013 10:01:51;"HANS"
71;159;157;"140,00";01/04/2013 18:58:51;"INGE";01/04/2013 18:59:54;"INGE"
72;159;158;"15,00";01/04/2013 18:59:11;"INGE";01/04/2013 18:59:54;"INGE"
73;159;45;"2,00";01/04/2013 18:59:27;"INGE";01/04/2013 18:59:54;"INGE"
74;161;135;"750,00";03/04/2013 22:55:04;"HANS";03/04/2013 22:58:18;"HANS"
75;161;128;"70,00";03/04/2013 22:55:25;"HANS";03/04/2013 22:58:18;"HANS"
76;161;62;"1,00";03/04/2013 22:55:57;"HANS";03/04/2013 22:58:18;"HANS"
77;161;126;"85,00";03/04/2013 22:56:28;"HANS";03/04/2013 22:58:18;"HANS"
78;161;80;"150,00";03/04/2013 22:56:55;"HANS";03/04/2013 22:58:18;"HANS"
79;161;129;"250,00";03/04/2013 22:57:11;"HANS";03/04/2013 22:58:18;"HANS"
